0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:44:44 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/FoodImg/jejuMap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:37 +0900] "GET /common/images/InfoImg/star0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:39 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:41 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:41 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:42 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:42 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:42 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:42 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
